AAustralia and Oceania,Palau,Snacks,Offline,L,9/19/2013,500204360,10/4/2013,441,152.58,97.44,67287.78,42971.04,24316.74
AAustralia and Oceania,Federated States of Micronesia,Baby Food,Online,M,10/24/2013,332936227,12/3/2013,2083,255.28,159.42,531748.24,332071.86,199676.38
AAustralia and Oceania,AAustralia,Personal Care,Online,H,3/16/2014,856333482,4/27/2014,6962,81.73,56.67,569004.26,394536.54,174467.72
AAustralia and Oceania,Samoa ,Clothes,Offline,C,11/5/2010,365692222,12/5/2010,5310,109.28,35.84,580276.80,190310.40,389966.40
AAustralia and Oceania,Samoa ,Office Supplies,Online,M,7/19/2015,272820842,8/20/2015,2605,651.21,524.96,1696402.05,1367520.80,328881.25
AAustralia and Oceania,Samoa ,Cosmetics,Online,H,2/23/2010,962924897,4/12/2010,9730,437.20,263.33,4253956.00,2562200.90,1691755.10
AAustralia and Oceania,Tuvalu,Cosmetics,Offline,C,1/10/2014,917450082,2/11/2014,2722,437.20,263.33,1190058.40,716784.26,473274.14
AAustralia and Oceania,AAustralia,Meat,Online,M,8/17/2013,467573249,9/17/2013,4170,421.89,364.69,1759281.30,1520757.30,238524.00
AAustralia and Oceania,Papua New Guinea,Beverages,Online,H,4/13/2014,838034808,5/2/2014,1978,47.45,31.79,93856.10,62880.62,30975.48
AAustralia and Oceania,New Zealand,Personal Care,Offline,M,11/10/2012,481714284,12/27/2012,8816,81.73,56.67,720531.68,499602.72,220928.96
AAustralia and Oceania,Tonga,Beverages,Offline,C,2/16/2014,359042060,3/26/2014,7379,47.45,31.79,350133.55,234578.41,115555.14
AAustralia and Oceania,Kiribati,Household,Offline,C,10/21/2011,634306228,11/24/2011,4163,668.27,502.54,2782008.01,2092074.02,689933.99
AAustralia and Oceania,AAustralia,Fruits,Online,M,4/13/2016,395841538,5/5/2016,7163,9.33,6.92,66830.79,49567.96,17262.83
AAustralia and Oceania,AAustralia,Fruits,Offline,C,1/18/2016,592504966,3/4/2016,4241,9.33,6.92,39568.53,29347.72,10220.81
AAustralia and Oceania,Palau,Meat,Offline,M,6/16/2016,409701907,7/18/2016,8754,421.89,364.69,3693225.06,3192496.26,500728.80
AAustralia and Oceania,East Timor,Snacks,Offline,L,1/7/2011,984564101,1/20/2011,3252,152.58,97.44,496190.16,316874.88,179315.28
AAustralia and Oceania,Papua New Guinea,Snacks,Online,C,11/22/2010,171029078,1/4/2011,160,152.58,97.44,24412.80,15590.40,8822.40
AAustralia and Oceania,AAustralia,Baby Food,Online,H,4/22/2015,222276437,5/30/2015,5392,255.28,159.42,1376469.76,859592.64,516877.12
AAustralia and Oceania,Kiribati,Baby Food,Offline,C,1/3/2010,728149211,1/12/2010,4387,255.28,159.42,1119913.36,699375.54,420537.82
AAustralia and Oceania,Nauru,Personal Care,Online,H,11/16/2013,500682437,11/21/2013,1914,81.73,56.67,156431.22,108466.38,47964.84
AAustralia and Oceania,AAustralia,Cereal,Online,M,9/13/2011,465417182,10/30/2011,6142,205.70,117.11,1263409.40,719289.62,544119.78
AAustralia and Oceania,Tonga,Clothes,Online,C,10/14/2011,452786338,11/29/2011,8394,109.28,35.84,917296.32,300840.96,616455.36
AAustralia and Oceania,Palau,Fruits,Offline,L,5/3/2017,966925466,5/22/2017,3587,9.33,6.92,33466.71,24822.04,8644.67
AAustralia and Oceania,Vanuatu,Snacks,Offline,M,11/20/2011,950118100,1/8/2012,9914,152.58,97.44,1512678.12,966020.16,546657.96
AAustralia and Oceania,Nauru,Snacks,Online,C,1/27/2015,576726281,3/2/2015,4978,152.58,97.44,759543.24,485056.32,274486.92
AAustralia and Oceania,Kiribati,Household,Offline,L,3/18/2010,139203059,5/1/2010,2133,668.27,502.54,1425419.91,1071917.82,353502.09
AAustralia and Oceania,Palau,Vegetables,Offline,C,5/25/2017,253681457,6/22/2017,8835,154.06,90.93,1361120.10,803366.55,557753.55
AAustralia and Oceania,Marshall Islands,Snacks,Offline,C,1/6/2016,840144526,1/21/2016,6290,152.58,97.44,959728.20,612897.60,346830.60
AAustralia and Oceania,Nauru,Meat,Offline,L,3/20/2014,558236205,4/5/2014,3353,421.89,364.69,1414597.17,1222805.57,191791.60
AAustralia and Oceania,Marshall Islands,Meat,Online,L,4/14/2010,576316010,5/2/2010,3569,421.89,364.69,1505725.41,1301578.61,204146.80
AAustralia and Oceania,Samoa ,Beverages,Offline,M,11/2/2015,171917426,12/21/2015,3042,47.45,31.79,144342.90,96705.18,47637.72
AAustralia and Oceania,Tonga,Household,Online,M,6/9/2015,717601907,6/24/2015,3206,668.27,502.54,2142473.62,1611143.24,531330.38
AAustralia and Oceania,Palau,Cereal,Online,C,6/10/2011,543257892,7/16/2011,937,205.70,117.11,192740.90,109732.07,83008.83
AAustralia and Oceania,Marshall Islands,Snacks,Online,L,6/6/2014,567099511,7/1/2014,6202,152.58,97.44,946301.16,604322.88,341978.28
AAustralia and Oceania,Tonga,Snacks,Offline,L,6/4/2015,776677882,6/25/2015,5100,152.58,97.44,778158.00,496944.00,281214.00
AAustralia and Oceania,New Zealand,Office Supplies,Offline,H,11/6/2010,716765916,12/14/2010,5817,651.21,524.96,3788088.57,3053692.32,734396.25
AAustralia and Oceania,Kiribati,Fruits,Offline,M,6/15/2012,429117238,7/24/2012,4182,9.33,6.92,39018.06,28939.44,10078.62
AAustralia and Oceania,Palau,Office Supplies,Online,L,12/14/2012,907059848,1/8/2013,8021,651.21,524.96,5223355.41,4210704.16,1012651.25
AAustralia and Oceania,Kiribati,Household,Offline,L,9/24/2012,562039363,9/26/2012,8792,668.27,502.54,5875429.84,4418331.68,1457098.16
AAustralia and Oceania,Federated States of Micronesia,Beverages,Offline,H,7/31/2014,191826283,9/11/2014,4515,47.45,31.79,214236.75,143531.85,70704.90
AAustralia and Oceania,Tonga,Personal Care,Offline,C,3/6/2010,563638818,4/4/2010,2106,81.73,56.67,172123.38,119347.02,52776.36
AAustralia and Oceania,Tuvalu,Snacks,Offline,M,12/22/2016,788502347,12/22/2016,4222,152.58,97.44,644192.76,411391.68,232801.08
AAustralia and Oceania,Fiji,Snacks,Online,M,1/21/2017,763591706,1/24/2017,2609,152.58,97.44,398081.22,254220.96,143860.26
AAustralia and Oceania,Marshall Islands,Fruits,Offline,H,3/21/2016,932761418,5/7/2016,3687,9.33,6.92,34399.71,25514.04,8885.67
AAustralia and Oceania,Tuvalu,Meat,Online,H,7/4/2015,932656705,8/13/2015,2700,421.89,364.69,1139103.00,984663.00,154440.00
AAustralia and Oceania,New Zealand,Household,Offline,M,7/5/2015,996928441,7/23/2015,2135,668.27,502.54,1426756.45,1072922.90,353833.55
AAustralia and Oceania,Samoa ,Vegetables,Offline,H,8/11/2010,431293475,9/2/2010,8178,154.06,90.93,1259902.68,743625.54,516277.14
AAustralia and Oceania,Solomon Islands,Clothes,Offline,M,5/18/2010,893702447,5/25/2010,5269,109.28,35.84,575796.32,188840.96,386955.36
